template_interface	ligand_1	ligand_2	cluster_representatives	target_interface
4UR7_A_D	GOL	GOL	 4UR8_A_D	3ORH_B_C,3ORH_B_D,5HWJ_A_D,5HWM_A_D,4UR8_A_D,5HWN_A_D,4UR7_B_C,5HWN_B_C,5HWJ_B_C,5HWM_B_C,4UR8_B_C
4TVJ_A_B	09L		 4TVJ_A_B	5MW9_F_G,5MW9_E_H,5MVW_B_D,5MW9_B_C,5MW0_A_C,5MW0_B_D,5MW9_A_D,5MVW_A_C,5MWE_A_C,5MWE_B_D
4TVS_A_a		GOL	 6U42_5X_C5	4TVS_B_b,6U42_6A_D1,6U42_5X_C5,6U42_6C_D5,6U42_5Z_C9,6U42_6B_D3,6U42_5Y_C7,6U42_6D_D7
4TWE_A_B	GOL	GOL	 2NSU_A_B	1Z8L_C_D,1Z8L_A_B,6D04_A_B,6D03_A_B,6D05_A_B,1CX8_G_H,1CX8_E_F,1CX8_C_D,1SUV_A_B,2NSU_A_B,1CX8_A_B,6H5I_Ab_Aq,6GSR_Ab_Aq,1DE4_C_F
4QRO_A_C	GOL		 7BPC_A_C	2DVU_B_D,2DVX_B_D,2DVT_B_D,2DVT_A_C,2DVU_A_C,2DVX_A_C,4QRO_F_H,3S4T_A_C,3S4T_B_D,4QRO_E_G,4QRO_B_D,3S4T_F_H,3S4T_E_G,7A19_A_B,7A1A_A_B,7BP1_B_D,7BPC_B_D,7BP1_A_C,7BPC_A_C
4QRO_B_D		GOL	 7BPC_A_C	2DVU_B_D,2DVX_B_D,2DVT_B_D,2DVT_A_C,2DVU_A_C,2DVX_A_C,4QRO_F_H,3S4T_A_C,3S4T_B_D,4QRO_E_G,3S4T_F_H,4QRO_A_C,3S4T_E_G,7A19_A_B,7A1A_A_B,7BP1_B_D,7BPC_B_D,7BP1_A_C,7BPC_A_C
4QRO_A_D	GOL	GOL	 2DVU_A_D	2DVU_A_D,2DVU_B_C,2DVT_A_D,2DVX_A_D,2DVX_B_C,2DVT_B_C,3S4T_A_D,3S4T_B_C,4QRO_B_C,3S4T_F_G,3S4T_E_H,4QRO_E_H,4QRO_F_G
4TWT_A_C	GOL		 4WZS_A_B	4WZS_A_B
4URS_A_B	GOL	GOL	 4URQ_U_Y	4URQ_U_Y,4URQ_V_X,1JR5_A_B,1TKV_A_B,6SAI_A_B
4QTB_A_B	EDO		 2ZOQ_A_B	2ZOQ_A_B,6GES_A_B
3WWY_A_B	GOL	GOL	 3WX0_A_B	6IH6_B_C,6IH8_A_D,4E5P_A_C,4E5P_E_F,4E5P_B_D,4EBF_B_E,4EBF_A_F,4EBF_C_D,4NU5_A_B,4NU6_A_B,4E5K_A_D,4E5M_A_B,4E5N_B_H,4E5N_D_G,3WX0_C_D,3WX0_A_B,4CUK_C_D,4CUJ_B_C,4CUK_A_B,4CUJ_A_D,5Z1Z_C_D,5Z1Z_A_B,4ZGS_E_F,4ZGS_A_B,4ZGS_C_D,4ZGS_G_H,5Z21_A_B,6ABI_A_B,5Z21_C_D,5Z20_A_B,5Z20_C_D,5Z20_E_F,3WWZ_A_B,6ABJ_A_B
4QTP_A_C	EDO	EDO	 6SDB_A_B	1S0Y_B_D,1S0Y_H_J,1S0Y_J_L,1S0Y_H_L,1S0Y_B_F,1S0Y_D_F,4QTP_B_D,6SDB_A_B,6SDB_C_D,6SDB_A_C,6XJ7_A_B,5HL8_A_D,5HL8_B_C,6GHU_A_B,5XGR_A_C,5XGR_B_D,2QWZ_C_D,2QWZ_A_B,5XWE_A_B
4QTP_B_D		CIT	 6SDB_A_B	1S0Y_B_D,1S0Y_H_J,1S0Y_J_L,1S0Y_H_L,1S0Y_B_F,1S0Y_D_F,4QTP_A_C,6SDB_A_B,6SDB_C_D,6SDB_A_C,6XJ7_A_B,5HL8_A_D,5HL8_B_C,6GHU_A_B,5XGR_A_C,5XGR_B_D,2QWZ_C_D,2QWZ_A_B,5XWE_A_B
4USK_A_B	DMS		 2GO7_A_B	2GO7_C_D,2GO7_A_B,4UTG_A_B,4UT4_A_B,4USM_A_B
4U1K_A_D	EDO	EDO	 6KGX_K6_b4	4U1L_A_D,6KGX_K6_b4,6KGX_KB_b1
4UTN_A_B	DMS	DMS	 4UTZ_A_B	4UU7_A_B,4UUA_A_B,4UTX_A_B,4UUB_A_B,4UTZ_A_B,4UTR_A_B,4UTV_A_B,5OJO_A_B,4UU8_A_B,6FLG_A_B,6FKY_A_B,6FKZ_A_B
4UTR_A_C	EDO		 4BV2_A_E	6RXM_A_G,6RXQ_B_F,6RXQ_A_E,6RXM_E_K,6RXM_D_J,6RXQ_C_G,6RXR_A_E,6RXM_C_I,6RXR_C_G,6RXM_F_L,6RXM_B_H,6RXS_A_B,6RXQ_D_H,6RXR_D_H,6RXR_B_F,6L65_A_C,6L66_A_C,6L71_A_C,4BV2_A_E,4BV2_B_H,4F56_A_C,4F56_B_D,6LJK_A_B,5YTK_F_L,5YTK_D_J,5YTK_E_K,5YTK_A_G,4UTV_A_C,4UU8_A_D,4UTZ_A_D,4UUB_A_D,4UU7_A_D,4UUA_A_D,4UTX_A_C,6FKY_A_C,6FKY_A_I
4U3Y_A_B		DMS	 4ZK5_A_B	4RVT_A_B,4OBP_A_B,4U43_A_B,4U3Z_A_B,4OBO_A_B,5W5Q_A_B,4OBQ_A_B,4U42_A_B,4U45_A_B,4U41_A_B,4U40_A_B,4ZK5_A_B,4U44_A_B
4QYN_A_B	RTL		 1KP5_A_B	1KP5_A_B,6MCU_C_D
4QZT_A_C	RTL		 6UV6_A_B	4EEJ_A_B,5DG4_A_D,4RUU_A_B,4QYP_B_C,4QZU_B_D,4QZU_A_C,4ZGU_A_D,5FAZ_A_B,4QYP_A_D,5DG4_B_C,4EFG_A_B,4QZT_B_D,5F6B_A_B,5F58_A_B,4ZJ0_A_B,4EDE_A_B,5FEN_A_B,7LHJ_A_B,4GKC_A_B,4EXZ_A_B,5F7G_A_B,6C7Z_A_B,4ZGU_B_C,5FFH_A_B,6UV6_A_B,6UV6_A_C
4QZU_A_B	RTL		 6QC9_D2_S5	4QZT_A_B,6QC9_D2_S5,3J3Q_dI_fe,3J3Q_al_bx,3J3Y_8S_9X,3J3Q_H_aJ,3J3Y_24_d,5LVT_B_C
3WXL_C_D	GOL	GOL	 3WXI_A_B	4E1J_B_C,4E1J_A_D,2DPN_A_B,5GN5_C_D,5GN6_C_D,5GN5_A_B,5GN6_A_B,3WXL_A_B,3WXJ_A_B,6J9X_C_D,5AZI_A_B,6J9Q_A_B,3WXJ_C_D,3WXK_C_D,6JAF_A_B,5AZJ_A_B,6JAE_C_D,6J9X_A_B,5AZJ_C_D,6J9Q_C_D,3WXI_A_B,3WXK_A_B,6J9V_A_B,6JAE_A_B,5AZI_C_D
4U9N_A_B	OLA		 4WIB_A_B	4U9L_A_B,4WIB_A_B
4U9W_D_H	GOL		 4U9W_A_F	4U9W_A_F,4U9W_C_G,4U9W_B_E,5K18_D_F,6Z00_A_C,6Z00_B_D
4UW1_A_G	EDO	EDO	 4UW1_A_G	4KRS_A_B,4UW1_C_E
4R1Z_A_B	AER		 4R1Z_A_B	6B82_A_B
4UW7_A_B	GOL		 4UW7_A_B	2X3H_A_B,2X3H_B_C,2X3H_A_C,4UW7_B_C,4UW7_A_C,5AQ5_K_L,5AQ5_E_F,5AQ5_G_H,5AQ5_J_K,5AQ5_H_I,5AQ5_A_C,5AQ5_D_F,5AQ5_A_B,5AQ5_G_I,5AQ5_J_L,5AQ5_D_E,5AQ5_B_C
4UW7_B_C		GOL	 4UW7_A_B	2X3H_A_B,2X3H_B_C,2X3H_A_C,4UW7_A_B,4UW7_A_C,5AQ5_K_L,5AQ5_E_F,5AQ5_G_H,5AQ5_J_K,5AQ5_H_I,5AQ5_A_C,5AQ5_D_F,5AQ5_A_B,5AQ5_G_I,5AQ5_J_L,5AQ5_D_E,5AQ5_B_C
4R29_B_D		GOL	 6YNZ_i1_i2	6YNY_i1_i2,6YNX_i1_i2,6YNZ_i4_i5,6YNZ_i1_i2
4R2G_C_K	GOL		 4R2G_A_P	4R2G_I_O,4R2G_A_P,4R2G_E_M,6R45_A_B
4UB8_A_E	GOL	GOL	 4IXR_A_E	5XNM_a_e,3JCU_A_E,5XNM_A_E,3JCU_a_e,5XNL_a_e,5XNL_A_E,6JLU_A_E,6JLU_a_e,6KAF_A_E,6KAF_a_e,6KAC_a_e,6KAC_A_E,4RVY_A_E,5E79_A_E,4PBU_a_e,5E7C_a_e,7D1U_A_E,4PBU_A_E,7D1T_a_e,5ZZN_a_e,5E7C_A_E,4RVY_a_e,7D1U_a_e,5E79_a_e,7D1T_A_E,5ZZN_A_E,6DHH_A_E,6DHG_A_E,6DHF_A_E,6DHO_a_e,6DHO_A_E,6DHF_a_e,6DHP_a_e,6DHH_a_e,6DHP_A_E,6DHE_a_e,6DHG_a_e,6DHE_A_E,1W5C_G_K,4IXR_a_e,1W5C_A_E,4IXQ_A_E,4IXR_A_E,4IXQ_a_e,6W1P_a_e,6W1O_a_e,6W1P_A_E,6W1O_A_E,4IL6_A_E,4IL6_a_e,6JLO_a_e,5KAF_a_e,5KAF_A_E,6JLJ_a_e,6JLK_A_E,4TNJ_a_e,6JLN_A_E,5TIS_a_e,4TNI_A_E,6JLM_A_E,5GTH_A_E,4TNK_A_E,4TNK_a_e,6W1Q_A_E,6W1T_a_e,5WS6_a_e,5KAI_A_E,4UB8_a_e,2AXT_a_e,2AXT_A_E,4UB6_A_E,4V62_AA_AE,6JLK_a_e,6JLJ_A_E,5TIS_A_E,4TNI_a_e,6W1R_a_e,6W1U_a_e,4TNJ_A_E,4TNH_a_e,4V82_BA_BE,6JLM_a_e,6JLL_a_e,6JLN_a_e,5WS5_A_E,6W1U_A_E,5GTI_a_e,5MX2_A_E,5KAI_a_e,6W1Q_a_e,5WS6_A_E,6W1R_A_E,4UB6_a_e,4V82_AA_AE,5WS5_a_e,6JLL_A_E,4PJ0_A_E,5MX2_a_e,5GTI_A_E,6JLP_A_E,6W1T_A_E,6W1V_A_E,6JLO_A_E,5GTH_a_e,4V62_BA_BE,6W1V_a_e,4TNH_A_E,6JLP_a_e,4PJ0_a_e
5ZZN_A_E	DMS		 4IXR_A_E	5XNM_a_e,3JCU_A_E,5XNM_A_E,3JCU_a_e,5XNL_a_e,5XNL_A_E,6JLU_A_E,6JLU_a_e,6KAF_A_E,6KAF_a_e,6KAC_a_e,6KAC_A_E,4RVY_A_E,5E79_A_E,4PBU_a_e,5E7C_a_e,7D1U_A_E,4PBU_A_E,7D1T_a_e,5ZZN_a_e,5E7C_A_E,4RVY_a_e,7D1U_a_e,5E79_a_e,7D1T_A_E,6DHH_A_E,6DHG_A_E,6DHF_A_E,6DHO_a_e,6DHO_A_E,6DHF_a_e,6DHP_a_e,6DHH_a_e,6DHP_A_E,6DHE_a_e,6DHG_a_e,6DHE_A_E,1W5C_G_K,4IXR_a_e,1W5C_A_E,4IXQ_A_E,4IXR_A_E,4IXQ_a_e,6W1P_a_e,6W1O_a_e,6W1P_A_E,6W1O_A_E,4IL6_A_E,4IL6_a_e,6JLO_a_e,5KAF_a_e,5KAF_A_E,6JLJ_a_e,6JLK_A_E,4TNJ_a_e,6JLN_A_E,5TIS_a_e,4TNI_A_E,6JLM_A_E,5GTH_A_E,4TNK_A_E,4TNK_a_e,6W1Q_A_E,6W1T_a_e,5WS6_a_e,5KAI_A_E,4UB8_a_e,2AXT_a_e,2AXT_A_E,4UB6_A_E,4V62_AA_AE,6JLK_a_e,6JLJ_A_E,5TIS_A_E,4TNI_a_e,6W1R_a_e,6W1U_a_e,4TNJ_A_E,4TNH_a_e,4V82_BA_BE,6JLM_a_e,6JLL_a_e,6JLN_a_e,4UB8_A_E,5WS5_A_E,6W1U_A_E,5GTI_a_e,5MX2_A_E,5KAI_a_e,6W1Q_a_e,5WS6_A_E,6W1R_A_E,4UB6_a_e,4V82_AA_AE,5WS5_a_e,6JLL_A_E,4PJ0_A_E,5MX2_a_e,5GTI_A_E,6JLP_A_E,6W1T_A_E,6W1V_A_E,6JLO_A_E,5GTH_a_e,4V62_BA_BE,6W1V_a_e,4TNH_A_E,6JLP_a_e,4PJ0_a_e
4UB8_A_L	GOL		 4FBY_A_L	5H2F_A_L,5ZZN_A_L,5ZZN_a_l,4IXQ_a_l,4IXR_A_L,4IXR_a_l,4IXQ_A_L,6J40_A_L,6J3Z_A_L,6J40_a_l,6J3Y_A_L,6J3Y_a_l,6J3Z_a_l,5XNM_A_L,5XNM_a_l,6JLU_A_L,6JLU_a_l,6KAC_a_l,6JLM_a_l,5WS6_A_L,6W1T_A_L,5B5E_A_L,4V62_AA_AL,4TNH_A_L,5WS5_A_L,2AXT_A_L,6W1Q_A_L,6W1U_A_L,5B66_a_l,6JLK_A_L,5WS5_a_l,5TIS_a_l,6W1Q_a_l,4TNK_a_l,3WU2_a_l,6JLK_a_l,4UB6_a_l,6W1V_A_L,6JLP_A_L,3WU2_A_L,6JLL_A_L,4TNK_A_L,6JLJ_a_l,4UB8_a_l,1S5L_a_l,5TIS_A_L,4TNJ_a_l,6JLO_A_L,6JLO_a_l,5GTI_a_l,6W1U_a_l,4V62_BA_BL,4UB6_A_L,6W1R_A_L,5B66_A_L,4TNH_a_l,4FBY_G_d,1S5L_A_L,5V2C_a_l,3A0H_a_l,5WS6_a_l,6JLM_A_L,5B5E_a_l,5V2C_A_L,5KAF_a_l,3A0H_A_L,6JLJ_A_L,4TNI_a_l,4V82_AA_AL,4FBY_A_L,5MX2_A_L,3KZI_A_L,5GTH_A_L,6JLP_a_l,5GTI_A_L,4V82_BA_BL,6W1R_a_l,4PJ0_a_l,5KAI_a_l,5MX2_a_l,5KAI_A_L,6JLL_a_l,4TNI_A_L,4TNJ_A_L,2AXT_a_l,4PJ0_A_L,6JLN_A_L,6W1T_a_l,6W1V_a_l,5GTH_a_l,6JLN_a_l,6DHH_A_L,6DHF_A_L,6DHO_a_l,4PBU_A_L,6DHE_a_l,4RVY_A_L,6W1O_a_l,7D1T_A_L,6DHP_a_l,6DHH_a_l,4IL6_A_L,6W1O_A_L,7D1U_a_l,7D1T_a_l,4IL6_a_l,6DHO_A_L,4RVY_a_l,7D1U_A_L,4PBU_a_l,6DHG_a_l,6DHP_A_L,6W1P_a_l,5E79_A_L,6DHF_a_l,6W1P_A_L,5E7C_A_L,6DHG_A_L,5E7C_a_l,5E79_a_l,6DHE_A_L
4UB8_A_T	GOL	GOL	 4FBY_A_T	6YP7_A_T,6YP7_a_t,6KAD_A_T,6KAC_a_t,6KAF_a_t,6KAC_A_T,6KAD_a_t,6KAF_A_T,4UB8_a_t,6J3Y_a_t,6J3Y_A_T,6J40_A_T,6J40_a_t,6J3Z_a_t,6J3Z_A_T,6JLU_A_T,6JLU_a_t,3JCU_A_T,3JCU_a_t,5XNL_a_t,5XNM_a_t,5XNM_A_T,5XNL_A_T,7CZL_A_T,7CZL_a_t,4IL6_A_T,7D1U_A_T,7D1T_A_T,7D1T_a_t,7D1U_a_t,4IL6_a_t,4RVY_A_T,5E79_A_T,6DHG_a_t,5E7C_a_t,6W1O_a_t,6DHH_A_T,6DHO_a_t,4RVY_a_t,6DHP_a_t,6DHO_A_T,6DHF_A_T,5H2F_a_t,6DHG_A_T,6W1P_A_T,6DHH_a_t,5E7C_A_T,6DHF_a_t,6DHE_a_t,4PBU_a_t,6DHE_A_T,5ZZN_a_t,6W1O_A_T,4PBU_A_T,5ZZN_A_T,5E79_a_t,5H2F_A_T,6W1P_a_t,6DHP_A_T,3A0H_A_T,3A0B_A_T,3A0B_a_t,3A0H_a_t,6W1Q_A_T,6W1T_a_t,6W1Q_a_t,6W1T_A_T,4IXR_A_T,4IXR_a_t,4IXQ_A_T,4IXQ_a_t,6JLL_a_t,5TIS_A_T,4UB6_A_T,5KAF_a_t,4TNJ_A_T,4V82_BA_BT,5KAI_A_T,4TNK_A_T,4YUU_a2_t2,6JLK_a_t,4V82_AA_AT,6JLN_A_T,4UB6_a_t,2AXT_A_T,4PJ0_a_t,5GTH_A_T,4FBY_A_T,4V62_BA_BT,4TNJ_a_t,1S5L_a_t,6JLM_a_t,6JLO_A_T,4TNK_a_t,4TNH_A_T,6JLL_A_T,6JLP_A_T,6JLM_A_T,3KZI_A_T,5GTI_a_t,6JLO_a_t,3WU2_A_T,4TNI_a_t,5WS6_a_t,4TNH_a_t,6W1U_A_T,6JLP_a_t,5GTI_A_T,6W1V_a_t,5V2C_A_T,5B5E_a_t,4YUU_a1_t1,5WS5_a_t,6W1U_a_t,4FBY_G_g,5GTH_a_t,6W1R_a_t,2AXT_a_t,6JLK_A_T,4YUU_A1_T1,5V2C_a_t,5B66_A_T,6JLJ_a_t,6JLN_a_t,4PJ0_A_T,5B5E_A_T,5KAF_A_T,6JLJ_A_T,4TNI_A_T,4V62_AA_AT,5WS5_A_T,3WU2_a_t,4YUU_A2_T2,5TIS_a_t,6W1V_A_T,1S5L_A_T,5MX2_A_T,5WS6_A_T,6W1R_A_T,5B66_a_t,5MX2_a_t,5KAI_a_t
4UB8_A_V	GOL	GOL	 4FBY_A_V	1W5C_G_T,4IXR_A_V,4IXQ_A_V,4IXQ_a_v,1W5C_A_V,4IXR_a_v,4TNI_A_V,6W1Q_a_v,4TNJ_A_V,6W1R_a_v,4TNH_a_v,5KAF_A_V,6W1U_A_V,5MX2_a_v,4TNJ_a_v,5MX2_A_V,6W1T_A_V,5TIS_a_v,5KAF_a_v,6W1U_a_v,6W1R_A_V,5KAI_A_V,6W1T_a_v,4TNK_a_v,4PJ0_A_V,5TIS_A_V,5KAI_a_v,6W1V_a_v,4TNH_A_V,4TNK_A_V,6W1V_A_V,6W1Q_A_V,4PJ0_a_v,4TNI_a_v,6W1P_A_V,6W1P_a_v,6W1O_A_V,6W1O_a_v,5E79_A_V,6DHH_A_V,7D1T_A_V,4RVY_A_V,6DHH_a_v,5E7C_a_v,4PBU_A_V,6DHO_A_V,5E79_a_v,5ZZN_a_v,6DHP_a_v,6DHE_A_V,6DHG_a_v,5ZZN_A_V,5H2F_a_v,5H2F_A_V,6DHO_a_v,4PBU_a_v,6DHF_A_V,6DHP_A_V,6DHG_A_V,7D1U_a_v,5E7C_A_V,4RVY_a_v,4IL6_a_v,4IL6_A_V,7D1U_A_V,6DHE_a_v,7D1T_a_v,6DHF_a_v,2AXT_A_V,4UB6_a_v,3KZI_A_V,6JLL_a_v,6JLN_a_v,3A0H_a_v,6JLJ_a_v,6JLO_A_V,4V62_AA_AV,5B5E_A_V,5B66_A_V,4UB8_a_v,5GTH_A_V,6JLM_A_V,3WU2_A_V,6JLK_a_v,6JLJ_A_V,4V82_AA_AV,4FBY_G_i,3A0B_a_v,1S5L_A_V,1S5L_a_v,5V2C_a_v,6JLL_A_V,4UB6_A_V,6JLK_A_V,6JLM_a_v,5GTI_A_V,5WS5_A_V,5WS6_A_V,5WS5_a_v,5V2C_A_V,5B5E_a_v,4V62_BA_BV,6JLN_A_V,5B66_a_v,5GTI_a_v,2AXT_a_v,3A0B_A_V,4FBY_A_V,5GTH_a_v,4V82_BA_BV,6JLP_A_V,3WU2_a_v,3A0H_A_V,6JLP_a_v,5WS6_a_v,6JLO_a_v
4UB8_D_E	GOL	GOL	 4FBY_D_E	6WJ6_D_E,3JCU_d_e,5XNM_D_E,3JCU_D_E,5XNL_d_e,5XNM_d_e,5XNL_D_E,6JLU_D_E,6JLU_d_e,6J3Z_d_e,6J3Z_D_E,4YUU_d1_e1,6J3Y_D_E,4YUU_d2_e2,6J40_d_e,4YUU_D1_E1,4YUU_D2_E2,6J40_D_E,6J3Y_d_e,6KAC_d_e,6KAF_D_E,6KAD_D_E,6KAD_d_e,6KAF_d_e,6KAC_D_E,3A0B_D_E,3A0H_D_E,3A0H_d_e,3A0B_d_e,4FBY_D_E,4FBY_Q_R,3KZI_D_E,6W1V_d_e,5KAI_D_E,1W5C_D_E,5MX2_D_E,4TNJ_D_E,4PJ0_D_E,4TNJ_d_e,5TIS_D_E,4TNI_d_e,4TNI_D_E,6W1U_d_e,6W1P_d_e,6W1V_D_E,4TNH_d_e,6W1O_D_E,4V82_AD_AE,2AXT_d_e,6W1T_D_E,4IXR_D_E,6W1U_D_E,4TNK_D_E,6W1O_d_e,6W1R_d_e,6W1T_d_e,4IXR_d_e,5KAF_D_E,4IXQ_d_e,4V62_BD_BE,1W5C_J_K,4IXQ_D_E,6W1P_D_E,6W1Q_d_e,1S5L_d_e,6W1R_D_E,5MX2_d_e,1S5L_D_E,5KAF_d_e,4TNK_d_e,4V62_AD_AE,5KAI_d_e,6W1Q_D_E,5TIS_d_e,4TNH_D_E,2AXT_D_E,4V82_BD_BE,4PJ0_d_e,7D1U_d_e,7D1U_D_E,4RVY_d_e,7D1T_d_e,5E79_D_E,5E7C_D_E,7D1T_D_E,5E79_d_e,4PBU_D_E,5ZZN_D_E,5E7C_d_e,4RVY_D_E,5ZZN_d_e,4PBU_d_e,6DHE_d_e,6DHH_D_E,6DHH_d_e,6DHP_d_e,6DHF_D_E,6DHO_d_e,6DHE_D_E,6DHP_D_E,6DHG_D_E,6DHO_D_E,6DHG_d_e,6DHF_d_e,4IL6_D_E,4IL6_d_e,3WU2_D_E,5B66_D_E,5V2C_d_e,5B5E_d_e,3WU2_d_e,5B5E_D_E,5V2C_D_E,5B66_d_e,6JLO_D_E,5WS5_d_e,5GTI_D_E,6JLJ_D_E,6JLK_D_E,6JLO_d_e,6JLM_D_E,5WS5_D_E,5GTI_d_e,6JLK_d_e,5GTH_D_E,6JLL_D_E,5WS6_D_E,6JLJ_d_e,5GTH_d_e,6JLP_d_e,6JLN_d_e,4UB8_d_e,4UB6_d_e,6JLL_d_e,6JLN_D_E,6JLM_d_e,4UB6_D_E,5WS6_d_e,6JLP_D_E,5H2F_D_E,5H2F_d_e
5B66_D_E	DMS	DMS	 4FBY_D_E	6WJ6_D_E,3JCU_d_e,5XNM_D_E,3JCU_D_E,5XNL_d_e,5XNM_d_e,5XNL_D_E,6JLU_D_E,6JLU_d_e,6J3Z_d_e,6J3Z_D_E,4YUU_d1_e1,6J3Y_D_E,4YUU_d2_e2,6J40_d_e,4YUU_D1_E1,4YUU_D2_E2,6J40_D_E,6J3Y_d_e,6KAC_d_e,6KAF_D_E,6KAD_D_E,6KAD_d_e,6KAF_d_e,6KAC_D_E,3A0B_D_E,3A0H_D_E,3A0H_d_e,3A0B_d_e,4FBY_D_E,4FBY_Q_R,3KZI_D_E,6W1V_d_e,5KAI_D_E,1W5C_D_E,5MX2_D_E,4TNJ_D_E,4PJ0_D_E,4TNJ_d_e,5TIS_D_E,4TNI_d_e,4TNI_D_E,6W1U_d_e,6W1P_d_e,6W1V_D_E,4TNH_d_e,6W1O_D_E,4V82_AD_AE,2AXT_d_e,6W1T_D_E,4IXR_D_E,6W1U_D_E,4TNK_D_E,6W1O_d_e,6W1R_d_e,6W1T_d_e,4IXR_d_e,5KAF_D_E,4IXQ_d_e,4V62_BD_BE,1W5C_J_K,4IXQ_D_E,6W1P_D_E,6W1Q_d_e,1S5L_d_e,6W1R_D_E,5MX2_d_e,1S5L_D_E,5KAF_d_e,4TNK_d_e,4V62_AD_AE,5KAI_d_e,6W1Q_D_E,5TIS_d_e,4TNH_D_E,2AXT_D_E,4V82_BD_BE,4PJ0_d_e,7D1U_d_e,7D1U_D_E,4RVY_d_e,7D1T_d_e,5E79_D_E,5E7C_D_E,7D1T_D_E,5E79_d_e,4PBU_D_E,5ZZN_D_E,5E7C_d_e,4RVY_D_E,5ZZN_d_e,4PBU_d_e,6DHE_d_e,6DHH_D_E,6DHH_d_e,6DHP_d_e,6DHF_D_E,6DHO_d_e,6DHE_D_E,6DHP_D_E,6DHG_D_E,6DHO_D_E,6DHG_d_e,6DHF_d_e,4IL6_D_E,4IL6_d_e,3WU2_D_E,5V2C_d_e,5B5E_d_e,3WU2_d_e,5B5E_D_E,5V2C_D_E,5B66_d_e,6JLO_D_E,5WS5_d_e,5GTI_D_E,6JLJ_D_E,6JLK_D_E,6JLO_d_e,6JLM_D_E,5WS5_D_E,5GTI_d_e,6JLK_d_e,5GTH_D_E,6JLL_D_E,5WS6_D_E,6JLJ_d_e,5GTH_d_e,6JLP_d_e,6JLN_d_e,4UB8_d_e,4UB6_d_e,6JLL_d_e,6JLN_D_E,6JLM_d_e,4UB6_D_E,5WS6_d_e,4UB8_D_E,6JLP_D_E,5H2F_D_E,5H2F_d_e
4UB8_D_L	GOL		 4FBY_D_L	3A0B_D_L,3A0B_d_l,3A0H_d_l,3A0H_D_L,3JCU_D_L,3JCU_d_l,5XNM_d_l,5XNL_D_L,5XNL_d_l,5XNM_D_L,6J3Y_d_l,6J3Z_d_l,6J3Y_D_L,4YUU_d1_l1,6J40_d_l,4YUU_d2_l2,6J3Z_D_L,4YUU_D2_L2,4YUU_D1_L1,6J40_D_L,6JLU_D_L,6JLU_d_l,6KAD_D_L,6KAC_D_L,6KAF_D_L,6KAC_d_l,6KAF_d_l,6KAD_d_l,5H2F_D_L,5H2F_d_l,6WJ6_D_L,5ZZN_D_L,5ZZN_d_l,5V2C_D_L,6JLP_d_l,4UB6_d_l,6JLO_D_L,6JLM_d_l,5WS5_d_l,4UB6_D_L,6JLJ_d_l,7D1U_D_L,5GTI_d_l,4IL6_d_l,5GTI_D_L,6JLP_D_L,5B5E_D_L,7D1T_D_L,7D1U_d_l,5B66_D_L,4IL6_D_L,5WS6_d_l,6JLN_D_L,5B5E_d_l,4RVY_D_L,6JLL_D_L,5E79_D_L,4UB8_d_l,5WS6_D_L,6JLN_d_l,5E79_d_l,6JLO_d_l,6JLK_d_l,5E7C_d_l,6JLJ_D_L,5V2C_d_l,3WU2_D_L,5E7C_D_L,5B66_d_l,4PBU_d_l,4RVY_d_l,6JLM_D_L,6JLK_D_L,7D1T_d_l,3WU2_d_l,4PBU_D_L,5WS5_D_L,6JLL_d_l,5GTH_D_L,5GTH_d_l,5KAI_d_l,4FBY_Q_d,6W1T_d_l,4IXR_d_l,5KAF_D_L,4IXQ_D_L,6W1R_D_L,6W1V_d_l,5TIS_d_l,4TNK_d_l,4V62_AD_AL,4IXQ_d_l,4TNJ_D_L,1S5L_d_l,4V62_BD_BL,3KZI_D_L,4TNK_D_L,6W1R_d_l,6W1O_D_L,4FBY_D_L,5TIS_D_L,4V82_AD_AL,2AXT_d_l,4PJ0_d_l,4TNI_d_l,4PJ0_D_L,4TNI_D_L,6W1O_d_l,5MX2_d_l,6W1P_D_L,6W1T_D_L,6W1P_d_l,6W1U_d_l,1S5L_D_L,4V82_BD_BL,4TNH_d_l,4TNH_D_L,6W1Q_d_l,4IXR_D_L,6W1V_D_L,2AXT_D_L,4TNJ_d_l,6W1Q_D_L,5KAI_D_L,5KAF_d_l,6W1U_D_L,5MX2_D_L,6DHP_d_l,6DHE_D_L,6DHE_d_l,6DHH_D_L,6DHG_d_l,6DHG_D_L,6DHP_D_L,6DHH_d_l,6DHF_d_l,6DHO_d_l,6DHO_D_L,6DHF_D_L,7CZL_D_L,7CZL_d_l
